Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Israel Abanikanda,RB,Pittsburgh,5,143,https://www.sports-reference.com/cfb/players/israel-abanikanda-1.html,70,216,,,,,,,ACC,31,3,,,,,,,,,,,,,,,,,,,,,38,354,9.3,3,390,2177,5.6,28,428,2531,5.9,31,,,,,,,,,,,,,,,,,,2023
Yasir Abdullah,LB,Louisville,5,136,https://www.sports-reference.com/cfb/players/yasir-abdullah-1.html,73,237,4.47,,36.5,129.0,,,ACC,53,5,123,86,209,42.0,23.5,3,27,0,8,3,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Devon Achane,RB,Texas A&M,3,84,https://www.sports-reference.com/cfb/players/devon-achane-1.html,69,188,4.32,,33.0,,,,SEC,30,3,,,,,,,,,,,,,,,,,,,,,65,554,8.5,5,369,2376,6.4,21,434,2930,6.8,26,,,,,,,,,,,,,,,,,,2023
Jordan Addison,WR,USC,1,23,https://www.sports-reference.com/cfb/players/jordan-addison-1.html,71,173,4.49,,34.0,122.0,,,ACC,35,3,,,,,,,,,,,,,,,,,,,,,59,875,14.8,8,4,33,8.3,0,63,908,14.4,8,,,,,,,,,,,,,,,,,,2023
Adetomiwa Adebawore,DE,Northwestern,4,110,https://www.sports-reference.com/cfb/players/adetomiwa-adebawore-1.html,74,282,4.49,27.0,37.5,125.0,,,Big Ten,36,4,67,30,97,24.5,12.5,1,0,0,6,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Alan Ali,C,TCU,0,0,https://www.sports-reference.com/cfb/players/alan-ali-1.html,76,301,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Davis Allen,TE,Clemson,5,175,https://www.sports-reference.com/cfb/players/davis-allen-1.html,78,245,,,38.5,125.0,,,ACC,54,4,,,,,,,,,,,,,,,,,,,,,88,951,10.8,12,0,0,,0,88,951,10.8,12,,,,,,,,,,,,,,,,,,2023
MJ Anderson,DE,Iowa St.,0,0,https://www.sports-reference.com/cfb/players/mj-anderson-1.html,75,269,,,33.0,,,,Big Ten,19,3,20,17,37,9.0,3.5,0,0,0,1,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jake Andrews,C,Troy,4,107,https://www.sports-reference.com/cfb/players/jake-andrews-1.html,75,305,5.15,,26.0,102.0,,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Felix Anudike-Uzomah,EDGE,Kansas St.,1,31,https://www.sports-reference.com/cfb/players/felix-anudike-uzomah-1.html,75,255,,,,,,,Big 12,27,3,68,29,97,26.5,20.5,0,0,0,1,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Malaesala Aumavae-Laulu,OT,Oregon,6,199,https://www.sports-reference.com/cfb/players/malaesala-aumavae-laulu-1.html,78,317,5.23,,28.5,106.0,7.65,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Alex Austin,CB,Oregon St.,7,252,https://www.sports-reference.com/cfb/players/alex-austin-1.html,73,195,4.55,,33.0,122.0,,4.33,Pac-12,34,4,94,47,141,2.0,1.0,4,59,1,20,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
