Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Cal Adomitis,LS,Pittsburgh,0,0,https://www.sports-reference.com/cfb/players/cal-adomitis-1.html,74,235,4.97,18.0,29.5,107.0,7.53,4.62,ACC,10,5,8,5,13,0.0,0.0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Austin Allen,TE,Nebraska,0,0,https://www.sports-reference.com/cfb/players/austin-allen-2.html,80,253,4.83,,34.0,121.0,7.0,4.26,Big Ten,34,4,,,,,,,,,,,,,,,,,,,,,65,975,15.0,3,1,2,2.0,0,66,977,14.8,3,,,,,,,,,,,,,,,,,,2022
Chase Allen,TE,Iowa St.,0,0,https://www.sports-reference.com/cfb/players/chase-allen-1.html,78,251,,,33.5,117.0,7.03,4.43,Big 12,47,5,,,,,,,,,,,,,,,,,,,,,74,810,10.9,6,0,0,,0,74,810,10.9,6,,,,,,,,,,,,,,,,,,2022
Christopher Allen,EDGE,Alabama,0,0,https://www.sports-reference.com/cfb/players/christopher-allen-1.html,76,241,,,,,,,SEC,19,3,34,20,54,18.5,6.5,0,0,0,0,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Tyler Allgeier,RB,BYU,5,151,https://www.sports-reference.com/cfb/players/tyler-allgeier-1.html,71,224,4.6,,33.0,120.0,,,Ind,41,4,,,,,,,,,,,,,,,,,,,,,46,437,9.5,1,452,2899,6.4,36,498,3336,6.7,37,,,,,,,,,,,,,,,,,,2022
Tycen Anderson,S,Toledo,5,166,https://www.sports-reference.com/cfb/players/tycen-anderson-1.html,74,209,4.36,,35.5,123.0,6.64,4.28,MAC,51,5,131,102,233,9.0,2.0,2,0,0,16,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Matt Araiza,P,San Diego St.,6,180,https://www.sports-reference.com/cfb/players/matt-araiza-1.html,73,200,4.68,,32.0,121.0,,,MWC,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,99.0,50,68,73.5,246,84,4293,51.1,2022
Jalyn Armour-Davis,CB,Alabama,4,119,https://www.sports-reference.com/cfb/players/jalyn-armour-davis-1.html,73,197,4.39,14.0,34.5,,,,SEC,15,3,22,13,35,1.0,0.0,3,51,0,6,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Brian Asamoah,LB,Oklahoma,3,66,https://www.sports-reference.com/cfb/players/brian-asamoah-ll-1.html,72,226,4.56,,36.5,124.0,,,Big 12,32,3,106,62,168,12.5,5.0,1,29,0,5,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Calvin Austin,WR,Memphis,4,138,https://www.sports-reference.com/cfb/players/calvin-austin-iii-1.html,68,170,4.32,,39.0,135.0,6.65,4.07,American,40,4,,,,,,,,,,,,,,,,,,,,,156,2541,16.3,22,8,169,21.1,3,164,2710,16.5,25,,,,,,,,,,,,,,,,,,2022
Tyler Badie,RB,Missouri,6,196,https://www.sports-reference.com/cfb/players/tyler-badie-1.html,68,197,4.45,,33.5,121.0,,,SEC,46,4,,,,,,,,,,,,,,,,,,,,,126,1149,9.1,11,513,2740,5.3,23,639,3889,6.1,34,,,,,,,,,,,,,,,,,,2022
Kalon Barnes,CB,Baylor,7,242,https://www.sports-reference.com/cfb/players/kalon-barnes-1.html,72,183,4.23,,,,,,Big 12,37,4,53,16,69,2.5,0.0,3,18,0,14,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Amaré Barno,EDGE,Virginia Tech,6,189,https://www.sports-reference.com/cfb/players/amare-barno-1.html,77,246,4.36,,37.0,131.0,,4.45,ACC,21,2,48,30,78,21.5,10.0,0,0,0,3,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
