Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Dante Pettis ,WR,Washington,2,44,https://www.sports-reference.com/cfb/players/dante-pettis-1.html,72,186,,,,,,,Pac-12,52,4,,,,,,,,,,,,,,,,,,,,,163,2256,13.8,24,4,42,10.5,0,167,2298,13.8,24,,,,,,,,,,,,,,,,,,2018
Kemoko Turay ,EDGE,Rutgers,2,52,https://www.sports-reference.com/cfb/players/kemoko-turay-1.html,77,253,4.65,,,,,,Big Ten,34,4,58,38,96,19.0,14.5,1,0,0,4,2,26,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Josh Adams,RB,Notre Dame,0,0,https://www.sports-reference.com/cfb/players/josh-adams-2.html,74,213,,18.0,,,,,Ind,37,3,,,,,,,,,,,,,,,,,,,,,41,336,8.2,2,480,3201,6.7,20,521,3537,6.8,22,,,,,,,,,,,,,,,,,,2018
Jordan Akins,TE,Central Florida,3,98,https://www.sports-reference.com/cfb/players/jordan-akins-1.html,75,249,,,,,,,American,34,4,,,,,,,,,,,,,,,,,,,,,81,1149,14.2,8,0,0,,0,81,1149,14.2,8,,,,,,,,,,,,,,,,,,2018
Jaire Alexander,CB,Louisville,1,18,https://www.sports-reference.com/cfb/players/jaire-alexander-1.html,71,192,4.38,14.0,35.0,127.0,6.71,3.98,ACC,29,3,58,19,77,2.0,0.0,7,42,0,15,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Austin Allen,QB,Arkansas,0,0,https://www.sports-reference.com/cfb/players/austin-allen-1.html,72,210,4.81,,29.5,112.0,7.18,4.48,SEC,27,4,,,,,,,,,,,,,,359,607,59.1,5045,36,21,141.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Brian Allen,C,Michigan State,4,111,https://www.sports-reference.com/cfb/players/brian-allen-8.html,73,298,5.34,27.0,26.5,99.0,7.81,4.71,Big Ten,2,1,2,0,2,0.0,0.0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Josh Allen,QB,Wyoming,1,7,https://www.sports-reference.com/cfb/players/josh-allen-7.html,77,237,4.75,,33.5,119.0,6.9,4.4,MWC,27,3,,,,,,,,,,,,,,365,649,56.2,5066,44,21,137.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Marcus Allen,S,Penn State,5,148,https://www.sports-reference.com/cfb/players/marcus-allen-5.html,74,202,,15.0,37.0,127.0,,4.32,Big Ten,49,4,181,139,320,17.0,3.0,1,50,0,10,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Mark Andrews,TE,Oklahoma,3,86,https://www.sports-reference.com/cfb/players/mark-andrews-1.html,77,256,4.67,17.0,31.0,113.0,7.34,4.38,Big 12,35,3,,,,,,,,,,,,,,,,,,,,,112,1765,15.8,22,0,0,,0,112,1765,15.8,22,,,,,,,,,,,,,,,,,,2018
