Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Jonathan Adams,WR,Arkansas St.,0,0,https://www.sports-reference.com/cfb/players/jonathan-adams-jr-1.html,74.0,210.0,4.59,,39.0,132.0,7.04,4.38,Sun Belt,40,4,,,,,,,,,,,,,,,,,,,,,166,2306,13.9,21,0,0,,0,166,2306,13.9,21,,,,,,,,,,,,,,,,,,2021
Paulson Adebo,CB,Stanford,3,76,https://www.sports-reference.com/cfb/players/paulson-adebo-1.html,73.0,198.0,4.45,18.0,36.5,121.0,6.69,4.13,Pac-12,22,2,69,28,97,5.0,0.0,8,49,0,27,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Giles Amos,TE,Arkansas St.,0,0,https://www.sports-reference.com/cfb/players/giles-amos-1.html,75.0,250.0,5.14,,28.5,111.0,7.65,5.13,SEC,20,2,,,,,,,,,,,,,,,,,,,,,15,196,13.1,2,0,0,,0,15,196,13.1,2,,,,,,,,,,,,,,,,,,2021
Zayne Anderson,LB,BYU,0,0,https://www.sports-reference.com/cfb/players/zayne-anderson-1.html,,,4.46,11.0,34.0,120.0,6.78,4.22,Ind,39,6,105,57,162,1.5,0.0,3,39,0,5,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Otis Anderson,RB,Central Florida,0,0,https://www.sports-reference.com/cfb/players/otis-anderson-1.html,67.0,179.0,4.63,11.0,36.0,113.0,7.04,4.38,American,46,4,,,,,,,,,,,,,,,,,,,,,91,1025,11.3,9,358,2182,6.1,17,449,3207,7.1,26,,,,,,,,,,,,,,,,,,2021
Jack Anderson,OL,Texas Tech,7,236,https://www.sports-reference.com/cfb/players/jack-anderson-3.html,76.0,314.0,5.28,27.0,29.5,105.0,7.9,4.83,Big 12,1,1,,,,,,,,,,,,,,,,,,,,,1,2,2.0,0,0,0,,0,1,2,2.0,0,,,,,,,,,,,,,,,,,,2021
Dan Archibong,DT,Temple,0,0,https://www.sports-reference.com/cfb/players/dan-archibong-1.html,77.0,295.0,5.35,28.0,28.5,100.0,8.16,4.68,American,41,5,39,48,87,10.0,5.5,0,0,0,8,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Jaytlin Askew,DB,Georgia Tech,0,0,https://www.sports-reference.com/cfb/players/jaytlin-askew-1.html,68.0,180.0,4.51,18.0,35.5,125.0,7.1,4.31,ACC,16,3,22,10,32,2.0,0.0,0,0,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Tutu Atwell,WR,Louisville,2,57,https://www.sports-reference.com/cfb/players/chatarius-atwell-1.html,68.0,155.0,4.42,,33.0,117.0,6.89,4.14,ACC,32,3,,,,,,,,,,,,,,,,,,,,,140,2307,16.5,21,11,22,2.0,1,151,2329,15.4,22,,,,,,,,,,,,,,,,,,2021
Kayode Awosika,OL,Buffalo,0,0,https://www.sports-reference.com/cfb/players/kayode-awosika-1.html,75.0,307.0,5.19,28.0,30.0,100.0,8.15,4.91,MAC,1,1,1,0,1,0.0,0.0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Kawaan Baker,WR,South Alabama,0,0,https://www.sports-reference.com/cfb/players/kawaan-baker-1.html,72.0,210.0,4.44,21.0,39.5,129.0,7.42,4.41,Sun Belt,40,4,,,,,,,,,,,,,,,,,,,,,126,1829,14.5,16,92,376,4.1,11,218,2205,10.1,27,,,,,,,,,,,,,,,,,,2021
Josh Ball,OL,Marshall,4,138,https://www.sports-reference.com/cfb/players/josh-ball-1.html,79.0,308.0,5.2,28.0,27.5,106.0,7.77,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Aaron Banks,OL,Notre Dame,2,48,https://www.sports-reference.com/cfb/players/aaron-banks-4.html,77.0,325.0,5.32,24.0,31.0,100.0,7.69,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Cole Banwart,OL,Iowa,0,0,https://www.sports-reference.com/cfb/players/cole-banwart-1.html,73.0,298.0,5.12,22.0,27.5,103.0,7.5,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Christian Barmore,DL,Alabama,2,38,https://www.sports-reference.com/cfb/players/christian-barmore-1.html,76.0,310.0,4.93,,,,,,SEC,22,2,34,29,63,15.5,10.0,0,0,0,5,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Derrick Barnes,DE,Purdue,4,113,https://www.sports-reference.com/cfb/players/derrick-barnes-2.html,72.0,238.0,4.57,29.0,37.0,119.0,,4.27,Big Ten,39,4,159,67,226,25.0,10.5,1,-1,0,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Carlos Basham,DL,Wake Forest,2,61,https://www.sports-reference.com/cfb/players/carlos-basham-jr-1.html,75.0,274.0,4.64,20.0,34.0,122.0,7.13,4.25,ACC,42,4,97,76,173,35.5,19.5,0,0,0,8,3,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Rashod Bateman,WR,Minnesota,1,27,https://www.sports-reference.com/cfb/players/rashod-bateman-1.html,72.0,190.0,4.39,,36.0,123.0,,,Big Ten,31,3,,,,,,,,,,,,,,,,,,,,,147,2410,16.4,19,0,0,,0,147,2410,16.4,19,,,,,,,,,,,,,,,,,,2021
John Bates,TE,Boise St.,0,0,https://www.sports-reference.com/cfb/players/john-bates-1.html,77.0,250.0,4.84,19.0,31.5,120.0,6.85,4.35,MWC,28,4,,,,,,,,,,,,,,,,,,,,,47,579,12.3,2,0,0,,0,47,579,12.3,2,,,,,,,,,,,,,,,,,,2021
Adam Bay,LS,Wisconsin,0,0,https://www.sports-reference.com/cfb/players/adam-bay-1.html,71.0,240.0,5.27,14.0,26.0,100.0,7.65,4.56,Big Ten,4,3,2,1,3,0.0,0.0,0,0,0,0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Tavante Beckett,LB,Marshall,0,0,https://www.sports-reference.com/cfb/players/tavante-beckett-1.html,70.0,220.0,4.78,18.0,31.0,106.0,7.34,4.58,ACC,25,3,81,131,212,14.0,4.5,1,0,0,5,6,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Chase Behrndt,OL,West Virginia,0,0,https://www.sports-reference.com/cfb/players/chase-behrndt-1.html,75.0,324.0,5.55,25.0,24.5,101.0,8.21,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Shaun Beyer,TE,Iowa,0,0,https://www.sports-reference.com/cfb/players/shaun-beyer-1.html,76.0,250.0,4.78,,31.5,119.0,,4.2,Big Ten,24,4,,,,,,,,,,,,,,,,,,,,,18,275,15.3,1,0,0,,0,18,275,15.3,1,,,,,,,,,,,,,,,,,,2021
Tarik Black,WR,Texas,0,0,https://www.sports-reference.com/cfb/players/tarik-black-1.html,74.0,213.0,4.54,15.0,40.0,132.0,6.91,4.26,Big Ten,26,4,,,,,,,,,,,,,,,,,,,,,10,240,24.0,1,0,0,,0,10,240,24.0,1,,,,,,,,,,,,,,,,,,2021
Josh Blancato,WR,Georgia Tech,0,0,https://www.sports-reference.com/cfb/players/josh-blancato-1.html,69.0,182.0,4.55,17.0,32.0,124.0,6.9,4.31,ACC,20,2,4,2,6,0.0,0.0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Joshuah Bledsoe,S,Missouri,6,188,https://www.sports-reference.com/cfb/players/joshuah-bledsoe-1.html,,,,,,,,,SEC,43,4,87,43,130,7.5,1.0,1,0,0,18,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Quinton Bohanna,DL,Kentucky,0,0,https://www.sports-reference.com/cfb/players/quinton-bohanna-1.html,76.0,327.0,5.46,,29.0,99.0,8.21,5.15,SEC,35,4,25,33,58,9.5,2.0,0,0,0,4,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Nick Bolton,LB,Missouri,2,58,https://www.sports-reference.com/cfb/players/nick-bolton-1.html,71.0,237.0,4.6,24.0,32.0,,7.4,4.5,SEC,32,3,139,81,220,17.5,4.0,2,38,1,12,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Ian Book,QB,Notre Dame,4,133,https://www.sports-reference.com/cfb/players/ian-book-1.html,72.0,211.0,4.65,,32.5,115.0,6.99,4.19,Ind,45,4,,,,,,,,,,,,,,728,1141,63.8,8948,72,20,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Dicaprio Bootle,CB,Nebraska,0,0,https://www.sports-reference.com/cfb/players/dicaprio-bootle-1.html,69.0,180.0,4.38,16.0,36.5,126.0,6.77,4.03,Big Ten,39,4,70,40,110,1.5,0.0,1,2,0,26,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Tuf Borland,LB,Ohio St.,0,0,https://www.sports-reference.com/cfb/players/tuf-borland-1.html,72.0,229.0,4.98,15.0,32.5,109.0,7.17,4.29,Big Ten,45,5,117,112,229,19.0,6.5,2,42,0,3,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Larry Borom,OL,Missouri,5,151,https://www.sports-reference.com/cfb/players/larry-borom-1.html,77.0,322.0,5.12,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Rakeem Boyd,RB,Arkansas,0,0,https://www.sports-reference.com/cfb/players/rakeem-boyd-2.html,71.0,213.0,4.7,6.0,32.5,98.0,7.22,4.38,SEC,31,3,,,,,,,,,,,,,,,,,,,,,52,358,6.9,0,389,2176,5.6,13,441,2534,5.7,13,,,,,,,,,,,,,,,,,,2021
Michael Boykin,DL,Louisville,0,0,https://www.sports-reference.com/cfb/players/michael-boykin-1.html,77.0,291.0,4.88,24.0,32.0,110.0,7.69,4.58,ACC,6,1,4,5,9,0.5,0.0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
William Bradley-King,OLB,Baylor,7,240,https://www.sports-reference.com/cfb/players/william-bradley-king-1.html,75.0,252.0,4.74,,34.5,119.0,7.14,4.26,Sun Belt,36,4,20,11,31,5.5,3.5,0,0,0,4,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Brady Breeze,S,Oregon,6,215,https://www.sports-reference.com/cfb/players/brady-breeze-1.html,71.0,197.0,4.55,20.0,38.0,120.0,7.05,4.22,Pac-12,33,3,65,30,95,0.0,0.0,3,32,1,5,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Gary Brightwell,RB,Arizona,6,196,https://www.sports-reference.com/cfb/players/gary-brightwell-1.html,70.0,218.0,4.62,17.0,34.5,118.0,7.51,4.48,Pac-12,28,4,,,,,,,,,,,,,,,,,,,,,19,121,6.4,1,245,1305,5.3,9,264,1426,5.4,10,,,,,,,,,,,,,,,,,,2021
K.J. Britt,LB,Auburn,5,176,https://www.sports-reference.com/cfb/players/kj-britt-1.html,72.0,235.0,4.76,24.0,32.5,118.0,7.38,4.4,SEC,29,4,64,54,118,13.0,3.5,0,0,0,2,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Josiah Bronson,DL,Washington,0,0,https://www.sports-reference.com/cfb/players/josiah-bronson-1.html,74.0,304.0,5.08,27.0,30.0,101.0,7.63,4.72,American,22,3,25,17,42,5.5,3.0,0,0,0,0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Chris Brown,DB,Texas,0,0,https://www.sports-reference.com/cfb/players/chris-brown-18.html,70.0,191.0,4.55,15.0,36.0,118.0,6.85,4.18,Big 12,29,4,93,14,107,6.0,1.0,3,32,0,9,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Earnest Brown,DE,Northwestern,0,0,https://www.sports-reference.com/cfb/players/earnest-brown-iv-1.html,76.0,270.0,5.01,25.0,31.0,115.0,7.19,4.5,Big Ten,29,4,45,26,71,18.5,7.0,0,0,0,9,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Kimere Brown,CB,Temple,0,0,https://www.sports-reference.com/cfb/players/kimere-brown-1.html,71.0,175.0,4.57,,32.5,124.0,7.37,4.32,American,18,3,12,6,18,0.0,0.0,0,0,0,6,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Deonte Brown,OL,Alabama,6,193,https://www.sports-reference.com/cfb/players/deonte-brown-1.html,75.0,344.0,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Dyami Brown,WR,North Carolina,3,82,https://www.sports-reference.com/cfb/players/dyami-brown-1.html,72.0,189.0,4.46,18.0,35.0,128.0,6.87,4.35,ACC,33,3,,,,,,,,,,,,,,,,,,,,,123,2306,18.7,21,1,2,2.0,0,124,2308,18.6,21,,,,,,,,,,,,,,,,,,2021
Shakur Brown,CB,Michigan St.,0,0,https://www.sports-reference.com/cfb/players/shakur-brown-1.html,69.0,185.0,4.61,17.0,35.5,116.0,7.08,4.23,Big Ten,21,3,38,16,54,2.0,2.0,7,186,1,9,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Tre Brown,CB,Oklahoma,4,137,https://www.sports-reference.com/cfb/players/tre-brown-2.html,69.0,185.0,4.42,13.0,38.0,123.0,7.11,4.27,Big 12,44,4,116,25,141,8.5,2.0,4,1,0,31,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Amon-Ra St. Brown,WR,USC,4,112,https://www.sports-reference.com/cfb/players/amon-ra-st-brown-1.html,71.0,197.0,4.51,20.0,38.5,127.0,6.88,4.17,Pac-12,30,3,,,,,,,,,,,,,,,,,,,,,178,2270,12.8,16,9,69,7.7,1,187,2339,12.5,17,,,,,,,,,,,,,,,,,,2021
