Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Rob Blanchflower,TE,Massachusetts,7,230,https://www.sports-reference.com/cfb/players/rob-blanchflower-1.html,76,256,4.82,,,,,,MAC,15,2,,,,,,,,,,,,,,,,,,,,,70,777,11.1,5,1,3,3.0,0,71,780,11.0,5,,,,,,,,,,,,,,,,,,2014
Alfred Blue,RB,LSU,6,181,https://www.sports-reference.com/cfb/players/alfred-blue-1.html,74,223,4.63,13.0,32.0,121.0,7.15,4.5,SEC,41,4,,,,,,,,,,,,,,,,,,,,,16,105,6.6,0,209,1253,6.0,11,225,1358,6.0,11,,,,,,,,,,,,,,,,,,2014
Russell Bodine,OG,North Carolina,4,111,https://www.sports-reference.com/cfb/players/russell-bodine-1.html,75,310,5.18,42.0,29.0,109.0,8.26,4.66,ACC,0,0,0,1,1,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Chris Borland,ILB,Wisconsin,3,77,https://www.sports-reference.com/cfb/players/chris-borland-1.html,71,248,4.83,27.0,31.0,114.0,7.18,4.27,Big Ten,41,4,233,187,420,50.0,17.0,3,41,0,13,2,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Blake Bortles,QB,Central Florida,1,3,https://www.sports-reference.com/cfb/players/blake-bortles-1.html,77,232,4.93,,32.5,115.0,7.08,4.21,CUSA,37,3,,,,,,,,,,,,,,585,891,65.7,7598,56,19,153.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Tre Boston,S,North Carolina,4,128,https://www.sports-reference.com/cfb/players/tre-boston-1.html,72,204,4.58,18.0,35.0,116.0,7.04,4.31,ACC,48,4,170,112,282,8.0,0.0,13,79,1,12,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Chris Boswell,K,Rice,0,0,https://www.sports-reference.com/cfb/players/chris-boswell-1.html,74,185,4.93,,,,,,CUSA,51,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,95.3,65,88,73.9,359,15,605,40.3,2014
Chris Boyd,WR,Vanderbilt,0,0,https://www.sports-reference.com/cfb/players/chris-boyd-1.html,76,206,4.73,12.0,,,,,SEC,26,2,,,,,,,,,,,,,,,,,,,,,81,1247,15.4,13,2,19,9.5,0,83,1266,15.3,13,,,,,,,,,,,,,,,,,,2014
Tajh Boyd,QB,Clemson,6,213,https://www.sports-reference.com/cfb/players/tajh-boyd-1.html,73,222,4.84,,30.5,106.0,7.33,4.23,ACC,47,4,,,,,,,,,,,,,,901,1402,64.3,11904,107,39,155.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Carl Bradford,OLB,Arizona State,4,121,https://www.sports-reference.com/cfb/players/carl-bradford-1.html,73,250,4.76,23.0,37.5,122.0,7.25,4.3,Pac-12,36,3,110,44,154,43.0,21.5,2,18,1,4,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Bashaud Breeland,CB,Clemson,4,102,https://www.sports-reference.com/cfb/players/bashaud-breeland-1.html,71,197,4.62,11.0,34.5,123.0,7.04,4.33,ACC,27,2,101,35,136,8.5,3.0,6,142,0,17,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Teddy Bridgewater,QB,Louisville,1,32,https://www.sports-reference.com/cfb/players/teddy-bridgewater-1.html,74,214,,,30.0,113.0,7.17,4.2,Big East,39,3,,,,,,,,,,,,,,781,1142,68.4,9817,72,24,157.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Justin Britt,OT,Missouri,2,64,https://www.sports-reference.com/cfb/players/justin-britt-2.html,78,325,5.19,23.0,27.5,100.0,8.14,4.69,Big 12,13,1,1,1,2,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Jay Bromley,DT,Syracuse,3,74,https://www.sports-reference.com/cfb/players/jay-bromley-1.html,75,306,5.06,26.0,33.5,106.0,7.92,4.78,Big East,37,3,70,50,120,24.5,13.0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
