Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Ameer Abdullah,RB,Nebraska,2,54,https://www.sports-reference.com/cfb/players/ameer-abdullah-1.html,69,205,4.6,24.0,42.5,130.0,6.79,3.95,Big Ten,53,4,,,,,,,,,,,,,,,,,,,,,73,690,9.5,7,813,4588,5.6,39,886,5278,6.0,46,,,,,,,,,,,,,,,,,,2015
Nelson Agholor,WR,USC,1,20,https://www.sports-reference.com/cfb/players/nelson-agholor-1.html,72,198,4.42,12.0,,,,,Pac-12,40,3,,,,,,,,,,,,,,,,,,,,,178,2572,14.4,20,7,18,2.6,0,185,2590,14.0,20,,,,,,,,,,,,,,,,,,2015
Jay Ajayi,RB,Boise State,5,149,https://www.sports-reference.com/cfb/players/jay-ajayi-1.html,72,221,4.57,19.0,39.0,121.0,7.1,4.1,MWC,38,3,,,,,,,,,,,,,,,,,,,,,73,771,10.6,5,678,3796,5.6,50,751,4567,6.1,55,,,,,,,,,,,,,,,,,,2015
Kwon Alexander,OLB,LSU,4,124,https://www.sports-reference.com/cfb/players/kwon-alexander-1.html,73,227,4.55,24.0,36.0,121.0,7.14,4.2,SEC,25,2,78,89,167,15.0,1.5,0,0,0,5,1,15,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
Mario Alford,WR,West Virginia,7,238,https://www.sports-reference.com/cfb/players/mario-alford-1.html,68,180,4.43,13.0,34.0,121.0,6.64,4.07,Big 12,22,2,,,,,,,,,,,,,,,,,,,,,92,1497,16.3,13,7,61,8.7,0,99,1558,15.7,13,,,,,,,,,,,,,,,,,,2015
Javorius Allen,RB,USC,4,125,https://www.sports-reference.com/cfb/players/javorius-allen-1.html,72,221,4.53,11.0,35.5,121.0,6.96,4.28,Pac-12,29,3,,,,,,,,,,,,,,,,,,,,,63,710,11.3,2,417,2306,5.5,25,480,3016,6.3,27,,,,,,,,,,,,,,,,,,2015
Adrian Amos,S,Penn State,5,142,https://www.sports-reference.com/cfb/players/adrian-amos-1.html,72,218,4.56,,35.5,122.0,7.09,4.03,Big Ten,48,4,101,47,148,9.0,3.0,7,135,0,15,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
Dres Anderson,WR,Utah,0,0,https://www.sports-reference.com/cfb/players/dres-anderson-1.html,73,187,4.54,13.0,,,,,Pac-12,43,4,,,,,,,,,,,,,,,,,,,,,134,2077,15.5,17,25,143,5.7,1,159,2220,14.0,18,,,,,,,,,,,,,,,,,,2015
Henry Anderson,DE,Stanford,3,93,https://www.sports-reference.com/cfb/players/henry-anderson-1.html,78,294,4.97,,30.0,111.0,7.2,4.19,Pac-12,33,3,77,64,141,31.0,16.5,0,0,0,8,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
Rory Anderson,TE,South Carolina,7,254,https://www.sports-reference.com/cfb/players/rory-anderson-1.html,77,244,4.73,,,,,,SEC,43,4,,,,,,,,,,,,,,,,,,,,,61,954,15.6,9,0,0,,0,61,954,15.6,9,,,,,,,,,,,,,,,,,,2015
Stephone Anthony,ILB,Clemson,1,31,https://www.sports-reference.com/cfb/players/stephone-anthony-1.html,75,243,4.56,23.0,37.0,122.0,7.07,4.03,ACC,52,4,153,101,254,34.5,9.5,3,8,0,7,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
Arik Armstead,DE,Oregon,1,17,https://www.sports-reference.com/cfb/players/arik-armstead-1.html,79,292,5.06,24.0,34.0,117.0,7.57,4.53,Pac-12,20,2,42,45,87,10.5,4.0,0,0,0,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
Cameron Artis-Payne,RB,Auburn,5,174,https://www.sports-reference.com/cfb/players/cameron-artis-payne-1.html,70,212,4.53,,36.5,118.0,7.13,,SEC,26,2,,,,,,,,,,,,,,,,,,,,,14,151,10.8,0,394,2218,5.6,19,408,2369,5.8,19,,,,,,,,,,,,,,,,,,2015
Neiron Ball,OLB,Florida,5,161,https://www.sports-reference.com/cfb/players/neiron-ball-1.html,74,236,4.65,22.0,,,,,SEC,43,4,37,57,94,5.5,3.0,1,5,0,2,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
Tavaris Barnes,DE,Clemson,0,0,https://www.sports-reference.com/cfb/players/tavaris-barnes-1.html,76,282,4.8,22.0,,,,,ACC,25,3,26,20,46,9.0,5.0,0,0,0,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
