Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,Year
Chris Jones,DT,Bowling Green,6,198,https://www.sports-reference.com/cfb/players/chris-jones-7.html,74.0,302.0,5.33,30.0,27.3,105.58,7.34,4.44,Big 12,3.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,47.42,5.5,0.21,0.99,-1.63,-2.85,0.21,7.24,45.79,-0.32,0.42,2013
Datone Jones,DE,UCLA,1,26,https://www.sports-reference.com/cfb/players/datone-jones-1.html,76.0,283.0,4.8,29.0,31.5,112.0,7.32,4.32,Pac-10,51.0,4.0,90.0,58.0,148.0,36.5,12.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,8.99,115.98,10.33,1.04,9.99,29.63,3.21,2.1,18.98,145.61,7.36,3.14,2013
Jarvis Jones,OLB,Georgia,1,17,https://www.sports-reference.com/cfb/players/jarvis-jones-1.html,74.0,245.0,4.74,27.0,33.5,114.02,7.03,4.28,Pac-10,34.0,3.0,91.0,64.0,155.0,44.0,28.0,1.0,21.0,0.0,2.0,0.0,0.0,0.0,2.0,7.39,76.05,11.99,0.53,205.13,1101.04,1.09,11.33,212.52,1177.09,1.14,11.86,2013
Landry Jones,QB,Oklahoma,4,115,https://www.sports-reference.com/cfb/players/landry-jones-1.html,76.0,225.0,5.11,17.0,31.0,115.0,7.12,4.3,Big 12,53.0,4.0,109.15,58.16,167.0,10.16,2.72,2.73,40.77,0.0,13.64,0.92,49.33,1.03,2.25,20.86,216.23,8.74,1.37,199.05,999.73,2.41,10.62,219.91,1215.96,3.37,11.99,2013
Dion Jordan,OLB,Oregon,1,3,https://www.sports-reference.com/cfb/players/dion-jordan-1.html,78.0,248.0,4.54,24.31,32.5,122.0,7.02,4.35,Pac-10,33.0,3.0,73.0,48.0,121.0,29.0,14.5,0.59,0.42,0.0,2.0,0.0,0.0,0.0,4.0,39.57,430.9,11.23,1.39,123.45,611.0,2.35,6.66,163.02,1041.9,5.82,8.05,2013
Nick Kasa,TE,Colorado,6,172,https://www.sports-reference.com/cfb/players/nick-kasa-1.html,78.0,269.0,4.71,22.0,31.5,113.0,7.12,4.38,Big 12,39.0,4.0,19.0,10.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.33,302.67,12.05,4.33,0.33,0.33,1.0,0.0,25.67,303.0,11.9,4.33,2013
Travis Kelce,TE,Cincinnati,3,63,https://www.sports-reference.com/cfb/players/travis-kelce-1.html,77.0,255.0,4.63,19.31,33.37,116.55,7.02,4.25,Big East,35.0,3.0,102.3,51.65,154.0,9.37,2.93,3.27,51.29,0.0,14.08,0.78,5.39,0.81,2.37,59.0,875.0,14.8,10.0,8.0,47.0,5.9,2.0,67.0,922.0,13.8,12.0,2013
Tavarres King,WR,Georgia,5,161,https://www.sports-reference.com/cfb/players/tavarres-king-1.html,72.0,189.0,4.47,11.0,36.5,123.0,6.91,4.33,SEC,56.0,5.0,111.15,60.4,172.0,10.1,2.64,4.85,46.63,0.39,12.98,0.73,27.04,0.99,1.84,136.0,2602.0,19.1,21.0,3.0,5.0,1.7,0.0,139.0,2607.0,18.8,21.0,2013
A.J. Klein,ILB,Iowa State,5,148,https://www.sports-reference.com/cfb/players/aj-klein-1.html,73.0,250.0,4.66,20.0,34.01,113.0,7.24,4.34,Big 12,51.0,4.0,181.0,180.0,361.0,20.0,3.0,5.0,265.0,4.0,7.0,1.0,0.0,0.0,1.0,36.78,327.34,8.44,3.86,59.15,300.41,3.87,3.59,95.93,627.75,5.88,7.45,2013
Collin Klein,QB,Kansas State,0,0,https://www.sports-reference.com/cfb/players/collin-klein-1.html,77.0,226.0,4.78,17.79,29.0,111.0,7.17,4.4,Big 12,48.0,4.0,103.73,58.88,163.0,10.64,3.29,2.27,36.37,0.0,11.82,0.73,30.83,0.86,1.93,42.31,291.63,7.2,0.66,535.14,2687.04,4.45,30.28,577.45,2978.67,4.67,30.93,2013
Jake Knott,OLB,Iowa State,0,0,https://www.sports-reference.com/cfb/players/jake-knott-1.html,74.0,243.0,4.84,26.34,32.34,114.55,6.99,4.2,Big 12,47.0,4.0,223.0,124.0,347.0,18.0,1.5,8.0,60.0,0.0,8.0,4.0,0.0,0.0,7.0,14.23,158.99,12.21,0.83,147.91,798.85,1.04,7.68,162.14,957.84,1.22,8.5,2013
Scott Kovanda,P,Ball State,0,0,https://www.sports-reference.com/cfb/players/scott-kovanda-1.html,74.0,207.0,4.84,15.86,30.43,112.72,7.18,4.35,MAC,49.0,4.0,116.39,67.58,184.0,10.93,2.47,9.51,167.74,1.63,5.46,0.39,0.0,0.41,1.2,34.11,254.6,7.11,1.99,258.76,1330.07,3.11,15.59,292.87,1584.67,3.29,17.58,2013
Joe Kruger,DE,Utah,7,212,https://www.sports-reference.com/cfb/players/joe-kruger-1.html,78.0,269.0,4.83,24.0,34.0,117.0,7.17,4.46,MWC,37.0,3.0,39.0,30.0,69.0,14.0,9.0,1.0,24.0,1.0,2.0,0.0,0.0,0.0,1.0,30.25,346.47,11.79,3.99,31.75,155.04,3.78,3.35,62.0,501.51,8.65,7.34,2013
Eddie Lacy,RB,Alabama,2,61,https://www.sports-reference.com/cfb/players/eddie-lacy-1.html,71.0,231.0,4.55,17.47,30.46,107.59,7.28,4.38,SEC,38.0,3.0,84.26,42.37,127.0,7.22,2.11,2.72,42.5,0.0,11.77,0.59,76.16,1.01,1.88,35.0,338.0,9.7,2.0,355.0,2402.0,6.8,30.0,390.0,2740.0,7.0,32.0,2013
Marcus Lattimore,RB,South Carolina,4,131,https://www.sports-reference.com/cfb/players/marcus-lattimore-1.html,71.0,221.0,4.65,20.7,34.99,116.16,7.06,4.34,SEC,29.0,3.0,117.18,60.69,178.0,12.22,2.72,3.84,41.96,0.0,11.96,0.4,0.0,0.42,1.81,74.0,767.0,10.4,3.0,555.0,2677.0,4.8,38.0,629.0,3444.0,5.5,41.0,2013
Alec Lemon,WR,Syracuse,0,0,https://www.sports-reference.com/cfb/players/alec-lemon-1.html,73.0,202.0,4.59,7.0,32.0,112.0,7.04,4.29,Big East,47.0,4.0,119.51,59.89,179.0,9.94,2.53,6.41,58.11,0.0,15.82,0.44,0.0,0.21,2.02,201.0,2596.0,12.9,18.0,6.0,12.0,2.0,1.0,207.0,2608.0,12.6,19.0,2013
Corey Lemonier,DE,Auburn,3,88,https://www.sports-reference.com/cfb/players/corey-lemonier-1.html,75.0,255.0,4.6,27.0,33.0,119.0,7.14,4.4,SEC,27.0,2.0,57.0,41.0,98.0,24.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,27.82,240.33,8.88,3.2,115.39,592.75,5.38,5.86,143.21,833.07,6.59,9.06,2013
Robert Lester,S,Alabama,0,0,https://www.sports-reference.com/cfb/players/robert-lester-1.html,73.0,220.0,4.66,15.86,33.5,117.0,7.17,4.35,SEC,48.0,4.0,81.0,66.0,147.0,6.5,2.5,14.0,183.0,0.0,7.0,1.0,0.0,0.0,1.0,87.45,1138.67,12.78,9.72,1.4,-1.78,3.02,0.0,88.85,1136.89,11.42,9.72,2013
Kapron Lewis-Moore,DT,Notre Dame,6,200,https://www.sports-reference.com/cfb/players/kapron-lewis-moore-1.html,76.0,298.0,4.95,29.82,26.73,103.83,7.1,4.53,Ind,32.0,3.0,79.0,101.0,180.0,22.0,12.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.1,6.87,5.41,0.12,1.41,4.65,0.45,0.41,2.51,11.52,0.67,0.53,2013
Zach Line,FB,SMU,0,0,https://www.sports-reference.com/cfb/players/zach-line-1.html,72.0,232.0,4.77,26.0,30.5,111.0,7.31,4.42,CUSA,50.0,4.0,148.56,124.66,273.0,26.75,9.27,2.49,30.97,0.19,3.69,1.91,0.0,0.19,2.57,75.0,599.0,8.0,0.0,778.0,4185.0,5.4,47.0,853.0,4784.0,5.6,47.0,2013
Jeff Locke,P,UCLA,5,155,https://www.sports-reference.com/cfb/players/jeff-locke-1.html,73.0,209.0,4.82,16.39,30.33,112.05,7.16,4.32,Pac-10,53.0,4.0,112.69,64.05,177.0,9.11,0.8,6.4,64.99,0.2,16.01,0.6,8.93,0.19,1.0,30.99,266.79,8.4,1.7,258.9,1349.13,3.73,13.73,289.9,1615.92,4.02,15.42,2013
Bennie Logan,DT,LSU,3,67,https://www.sports-reference.com/cfb/players/bennie-logan-1.html,74.0,309.0,5.08,30.0,25.0,104.0,7.53,4.67,SEC,17.0,2.0,38.0,69.0,107.0,12.5,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.44,15.95,5.39,0.16,14.98,65.32,-1.29,0.16,17.42,81.27,3.56,0.32,2013
John Lotulelei,OLB,UNLV,0,0,https://www.sports-reference.com/cfb/players/john-lotulelei-1.html,71.0,233.0,4.84,25.0,35.5,117.0,6.91,4.3,MWC,25.0,2.0,83.0,97.0,180.0,4.5,0.0,1.0,4.0,0.0,1.0,0.0,13.02,0.3,0.0,32.0,252.03,8.34,1.0,407.7,2326.01,5.01,25.38,439.7,2578.04,5.13,26.38,2013
Star Lotulelei,DT,Utah,1,14,https://www.sports-reference.com/cfb/players/star-lotulelei-1.html,74.0,311.0,5.14,29.01,28.5,99.03,7.31,4.62,MWC,26.0,2.0,48.0,59.0,107.0,21.5,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.11,8.14,5.05,0.0,19.1,82.95,0.35,0.0,20.21,91.09,2.42,0.0,2013
Philip Lutzenkirchen,TE,Auburn,0,0,https://www.sports-reference.com/cfb/players/philip-lutzenkirchen-1.html,75.0,258.0,4.94,21.0,30.5,112.0,7.15,4.35,SEC,44.0,4.0,105.56,56.97,163.0,13.2,4.94,3.28,57.93,0.0,12.4,0.96,8.7,0.8,3.15,59.0,628.0,10.6,14.0,0.12,0.6,1.89,0.0,59.0,628.0,10.6,14.0,2013
Brandon Magee,OLB,Arizona State,0,0,https://www.sports-reference.com/cfb/players/brandon-magee-1.html,71.0,223.0,4.74,21.58,32.0,114.0,7.06,4.34,Pac-10,44.0,4.0,157.0,74.0,231.0,24.5,10.0,3.0,56.0,1.0,2.0,1.0,0.0,0.0,0.0,36.61,341.81,9.48,3.02,302.92,1687.37,4.23,16.27,339.53,2029.17,4.59,19.29,2013
Brett Maher,K,Nebraska,0,0,https://www.sports-reference.com/cfb/players/brett-maher-1.html,72.0,186.0,4.89,16.55,33.42,121.05,6.83,4.18,Big Ten,27.0,2.0,108.34,67.28,176.0,13.46,3.27,1.45,18.33,0.0,3.6,0.75,14.14,0.4,2.19,33.39,359.45,9.71,2.73,282.47,1692.54,4.26,16.98,315.86,2051.99,4.57,19.71,2013
E.J. Manuel,QB,Florida State,1,16,https://www.sports-reference.com/cfb/players/ej-manuel-1.html,77.0,237.0,4.65,17.06,34.0,118.0,7.08,4.21,ACC,43.0,4.0,99.65,54.79,154.0,10.88,3.55,3.94,71.52,0.24,12.65,0.25,3.81,0.42,1.47,73.8,955.12,11.96,11.46,3.24,26.75,9.17,0.4,77.04,981.87,11.01,11.86,2013
Stansly Maponga,DE,TCU,5,153,https://www.sports-reference.com/cfb/players/stansly-maponga-1.html,74.0,256.0,4.78,30.0,34.08,120.12,7.24,4.41,MWC,25.0,2.0,63.0,50.0,113.0,23.0,15.5,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,27.45,242.54,9.38,2.49,115.64,581.31,5.8,6.08,143.09,823.85,6.99,8.57,2013
Michael Mauti,OLB,Penn State,7,213,https://www.sports-reference.com/cfb/players/michael-mauti-1.html,74.0,243.0,4.83,28.0,32.62,113.51,7.04,4.16,Big Ten,26.0,3.0,91.0,92.0,183.0,12.5,4.5,4.0,125.0,0.0,1.0,0.0,0.0,0.0,0.0,19.1,211.7,11.09,1.3,175.63,975.23,1.57,10.33,194.73,1186.93,3.09,11.63,2013
Onterio McCalebb,RB,Auburn,0,0,https://www.sports-reference.com/cfb/players/onterio-mccalebb-1.html,70.0,168.0,4.34,15.03,34.0,121.0,7.04,4.18,SEC,50.0,4.0,102.83,52.03,155.0,8.85,2.65,2.96,47.13,0.0,13.82,0.72,19.13,0.96,2.27,63.0,620.0,9.8,3.0,406.0,2586.0,6.4,24.0,469.0,3206.0,6.8,27.0,2013
Lerentee McCray,OLB,Florida,0,0,https://www.sports-reference.com/cfb/players/lerentee-mccray-1.html,74.0,250.0,4.74,28.07,33.6,119.11,7.17,4.34,SEC,42.0,5.0,40.0,25.0,65.0,12.5,4.5,1.0,25.0,0.0,3.0,0.0,0.0,0.0,1.0,6.94,68.59,11.0,0.45,185.1,988.2,0.91,10.18,192.04,1056.8,0.95,10.63,2013
T.J. McDonald,S,USC,3,71,https://www.sports-reference.com/cfb/players/tj-mcdonald-1.html,74.0,219.0,4.59,19.0,40.0,131.0,6.89,4.2,Pac-10,50.0,4.0,151.0,124.0,275.0,12.0,2.0,8.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,50.83,615.66,12.09,6.4,0.23,0.23,0.51,0.0,51.06,615.9,11.95,6.4,2013
Vance McDonald,TE,Rice,2,55,https://www.sports-reference.com/cfb/players/vance-mcdonald-1.html,76.0,267.0,4.69,31.0,33.5,119.0,7.08,4.53,CUSA,42.0,4.0,99.18,51.81,151.0,9.73,2.88,4.8,72.28,0.0,15.73,1.02,3.02,0.82,2.67,119.0,1504.0,12.6,15.0,7.0,52.0,7.4,0.0,126.0,1556.0,12.3,15.0,2013
Leon McFadden,CB,San Diego State,3,68,https://www.sports-reference.com/cfb/players/leon-mcfadden-1.html,70.0,193.0,4.54,10.0,34.5,119.0,6.81,4.27,MWC,51.0,4.0,136.0,52.0,188.0,13.0,3.0,8.0,186.0,2.0,23.0,3.0,35.06,1.0,0.0,54.11,468.74,7.6,2.33,214.49,1207.62,5.45,10.87,268.6,1676.35,5.91,13.2,2013
Brandon McGee,CB,Miami (FL),5,149,https://www.sports-reference.com/cfb/players/brandon-mcgee-1.html,71.0,193.0,4.4,14.0,33.5,119.0,6.71,4.18,ACC,45.0,4.0,70.0,39.0,109.0,6.5,2.0,3.0,41.0,0.0,4.0,0.0,0.0,0.0,0.0,20.85,175.96,6.81,1.27,187.21,1108.45,5.54,9.76,208.07,1284.41,5.72,11.03,2013
Stacy McGee,DT,Oklahoma,6,205,https://www.sports-reference.com/cfb/players/stacy-mcgee-1.html,75.0,308.0,4.98,30.3,29.04,107.11,7.55,4.55,Big 12,28.0,3.0,29.0,34.0,63.0,9.5,2.5,0.31,0.38,0.0,0.0,0.0,0.0,0.0,0.0,2.2,13.23,5.33,0.21,0.9,0.2,-0.56,0.21,3.1,13.42,1.2,0.42,2013
Christine Michael,RB,Texas A&M,2,62,https://www.sports-reference.com/cfb/players/christine-michael-1.html,70.0,220.0,4.54,27.0,43.0,125.0,6.69,4.02,Big 12,40.0,4.0,115.73,66.49,182.0,13.49,4.55,3.17,57.96,0.04,11.02,1.97,9.08,0.83,3.1,44.0,323.0,7.3,1.0,529.0,2791.0,5.3,34.0,573.0,3114.0,5.4,35.0,2013
Stephane Milhim,OG,Massachusetts,0,0,https://www.sports-reference.com/cfb/players/stephane-milhim-1.html,76.0,314.0,5.14,28.51,28.5,104.0,7.8,4.87,MAC,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.29,3.22,0.07,0.03,0.68,0.21,0.03,1.0,3.96,3.96,0.11,2013
Dee Milliner,CB,Alabama,1,9,https://www.sports-reference.com/cfb/players/demarcus-milliner-1.html,72.0,201.0,4.37,19.89,36.0,122.0,6.95,4.32,SEC,26.0,2.0,89.0,47.0,136.0,9.0,1.5,6.0,107.0,0.84,41.0,1.0,17.0,0.0,2.0,46.56,395.44,7.02,2.83,339.3,1823.14,5.41,13.24,385.86,2218.58,5.62,16.08,2013
Barkevious Mingo,OLB,LSU,1,6,https://www.sports-reference.com/cfb/players/barkevious-mingo-1.html,76.0,241.0,4.58,21.04,37.0,128.0,6.84,4.39,SEC,27.0,2.0,60.0,59.0,119.0,29.0,15.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,4.0,56.21,815.03,15.04,8.58,122.39,719.75,5.13,9.56,175.86,1518.72,12.1,17.93,2013
Kevin Minter,ILB,LSU,2,45,https://www.sports-reference.com/cfb/players/kevin-minter-1.html,72.0,246.0,4.81,25.0,33.0,119.0,6.97,4.19,SEC,37.0,3.0,81.0,125.0,206.0,18.5,5.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,52.31,493.66,9.67,4.83,68.78,364.04,4.97,4.1,121.09,857.7,6.79,8.93,2013
T.J. Moe,WR,Missouri,0,0,https://www.sports-reference.com/cfb/players/tj-moe-1.html,71.0,204.0,4.74,26.0,36.0,120.0,6.53,3.96,Big 12,47.0,4.0,168.17,81.32,249.0,12.89,2.11,8.01,95.17,0.62,11.73,1.51,6.9,0.37,2.31,188.0,2101.0,11.2,11.0,30.0,168.0,5.6,1.0,218.0,2269.0,10.4,12.0,2013
Sam Montgomery,DE,LSU,3,95,https://www.sports-reference.com/cfb/players/sam-montgomery-1.html,75.0,262.0,4.81,25.96,34.5,114.0,7.18,4.51,SEC,19.0,2.0,47.0,57.0,104.0,32.5,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,17.76,157.39,9.8,2.02,90.55,468.25,5.61,5.62,108.31,625.64,6.7,7.63,2013
Nick Moody,OLB,Florida State,6,180,https://www.sports-reference.com/cfb/players/nick-moody-1.html,73.0,236.0,4.71,17.0,33.9,118.0,7.19,4.29,ACC,34.0,3.0,89.0,66.0,155.0,6.0,2.0,1.0,96.0,1.0,2.0,0.0,0.0,0.0,0.0,32.04,349.66,10.1,2.44,332.58,1857.97,5.55,20.25,364.61,2207.63,6.33,22.69,2013
Damontre Moore,DE,Texas A&M,3,81,https://www.sports-reference.com/cfb/players/damontre-moore-1.html,76.0,250.0,4.95,12.0,35.5,122.0,7.19,4.27,Big 12,25.0,2.0,116.0,81.0,197.0,45.0,26.5,1.0,8.0,0.0,3.0,0.0,0.0,0.0,5.0,39.58,417.6,12.12,4.43,68.26,329.51,4.59,6.18,107.85,747.1,7.41,10.61,2013
Sio Moore,OLB,Connecticut,3,66,https://www.sports-reference.com/cfb/players/sio-moore-1.html,73.0,245.0,4.65,29.0,38.0,127.0,7.49,4.31,Big East,29.0,3.0,174.0,100.0,274.0,44.0,16.0,4.0,11.0,0.0,16.0,3.0,0.0,0.0,4.0,52.08,679.6,13.75,4.21,104.67,621.9,3.5,7.38,156.74,1301.5,8.72,11.59,2013
Zeke Motta,S,Notre Dame,7,244,https://www.sports-reference.com/cfb/players/zeke-motta-1.html,74.0,213.0,4.75,11.0,35.5,126.0,6.75,4.16,Ind,38.0,3.0,92.0,87.0,179.0,4.0,0.5,2.0,0.0,0.0,6.0,1.0,29.0,1.0,1.0,29.41,388.48,11.21,3.81,17.29,128.22,2.54,0.59,46.7,516.7,11.15,4.4,2013
Ryan Nassib,QB,Syracuse,4,110,https://www.sports-reference.com/cfb/players/ryan-nassib-1.html,74.0,227.0,5.06,21.62,28.5,105.0,7.34,4.53,Big East,47.0,4.0,112.53,70.4,183.0,10.63,2.41,1.31,22.17,0.0,10.09,0.58,0.0,0.28,2.16,47.0,412.97,7.6,1.05,530.27,2728.89,5.22,30.32,577.27,3141.87,5.71,31.37,2013
Alec Ogletree,OLB,Georgia,1,30,https://www.sports-reference.com/cfb/players/alec-ogletree-1.html,74.0,242.0,4.7,20.0,33.5,122.0,7.16,4.39,SEC,30.0,3.0,130.0,67.0,197.0,20.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,84.7,1089.06,12.82,6.99,0.77,3.42,6.88,0.0,85.47,1092.48,12.77,6.99,2013
Alex Okafor,DE,Texas,4,103,https://www.sports-reference.com/cfb/players/alex-okafor-1.html,76.0,264.0,4.78,21.0,31.55,113.67,7.03,4.37,Big 12,39.0,3.0,88.0,62.0,150.0,34.0,23.0,0.21,0.85,0.0,4.0,0.0,0.0,0.0,7.0,23.39,261.61,10.52,2.83,38.86,211.95,4.55,3.97,62.25,473.56,6.96,6.79,2013
Ryan Otten,TE,San Jose State,0,0,https://www.sports-reference.com/cfb/players/ryan-otten-1.html,77.0,230.0,4.69,15.19,32.26,110.66,7.17,4.3,WAC,42.0,4.0,102.41,52.89,155.0,8.93,2.64,3.44,53.84,0.03,14.27,0.74,53.48,0.94,2.28,126.0,1760.0,14.0,12.0,1.84,2.77,0.23,0.23,126.0,1760.0,14.0,12.0,2013
Chris Pantale,TE,Boston Col.,0,0,https://www.sports-reference.com/cfb/players/chris-pantale-1.html,77.0,254.0,4.99,17.0,33.5,110.0,7.48,4.5,ACC,46.0,4.0,99.98,51.42,151.0,9.04,2.48,4.2,63.1,0.0,15.54,0.94,13.1,0.8,2.52,98.0,986.0,10.1,7.0,2.19,4.89,3.06,0.0,98.0,986.0,10.1,7.0,2013
Cordarrelle Patterson,WR,Tennessee,1,29,https://www.sports-reference.com/cfb/players/cordarrelle-patterson-1.html,74.0,216.0,4.42,18.67,37.0,128.0,6.97,4.31,SEC,12.0,1.0,112.15,61.53,174.0,8.95,2.04,4.7,73.05,0.52,10.61,0.96,18.5,0.82,1.49,46.0,778.0,16.9,5.0,25.0,308.0,12.3,3.0,71.0,1086.0,15.3,8.0,2013
Quinton Patton,WR,Louisiana Tech,4,128,https://www.sports-reference.com/cfb/players/quinton-patton-1.html,72.0,204.0,4.53,8.0,33.0,118.0,6.91,4.01,WAC,25.0,2.0,115.08,65.0,180.0,9.98,2.37,5.25,56.01,0.0,13.59,1.33,0.0,0.23,2.82,183.0,2594.0,14.2,24.0,11.0,37.0,3.4,0.0,194.0,2631.0,13.6,24.0,2013
Sean Porter,OLB,Texas A&M,4,118,https://www.sports-reference.com/cfb/players/sean-porter-1.html,73.0,229.0,4.75,22.0,35.0,119.0,7.1,4.17,Big 12,52.0,4.0,148.0,113.0,261.0,34.5,14.5,1.0,16.0,0.0,8.0,0.0,0.0,0.0,1.0,43.67,384.68,9.27,1.47,519.26,2777.83,5.49,28.42,562.93,3162.51,5.72,29.89,2013
Jordan Poyer,CB,Oregon State,7,218,https://www.sports-reference.com/cfb/players/jordan-poyer-1.html,72.0,191.0,4.54,8.0,30.5,118.0,6.87,4.18,Pac-10,49.0,4.0,98.0,55.0,153.0,7.0,3.0,13.0,243.0,3.0,16.0,1.0,15.5,0.59,1.0,44.0,563.59,9.63,4.7,294.43,1520.15,6.57,13.4,338.43,2083.75,7.92,18.11,2013
Lonnie Pryor,FB,Florida State,0,0,https://www.sports-reference.com/cfb/players/lonnie-pryor-1.html,71.0,227.0,4.7,17.0,30.0,114.0,7.28,4.55,ACC,54.0,4.0,118.23,91.22,209.0,23.06,7.05,1.25,25.84,0.18,5.88,0.37,6.45,0.57,0.72,41.0,379.0,9.2,5.0,124.0,718.0,5.8,18.0,165.0,1097.0,6.6,23.0,2013
Justin Pugh,OT,Syracuse,1,19,https://www.sports-reference.com/cfb/players/justin-pugh-1.html,76.0,307.0,5.12,25.06,28.5,103.0,7.45,4.63,Big East,12.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,59.25,4.77,0.0,153.75,760.53,-1.16,8.44,163.38,819.78,-1.14,8.44,2013
Bacarri Rambo,S,Georgia,6,191,https://www.sports-reference.com/cfb/players/bacarri-rambo-1.html,72.0,211.0,4.56,17.0,31.2,120.31,7.05,4.28,SEC,47.0,4.0,159.0,76.0,235.0,7.0,1.0,16.0,293.0,3.0,18.37,0.56,0.49,0.43,2.32,41.74,310.38,7.23,0.46,511.7,2636.96,5.2,25.16,553.44,2947.34,5.34,25.61,2013
Joseph Randle,RB,Oklahoma State,5,151,https://www.sports-reference.com/cfb/players/joseph-randle-1.html,72.0,204.0,4.63,18.4,35.0,123.0,6.99,4.25,Big 12,39.0,3.0,113.88,74.54,188.0,8.74,2.74,3.35,38.66,0.17,10.91,0.73,26.0,1.0,1.93,108.0,917.0,8.5,3.0,564.0,3085.0,5.5,40.0,672.0,4002.0,6.0,43.0,2013
Kevin Reddick,ILB,North Carolina,0,0,https://www.sports-reference.com/cfb/players/kevin-reddick-1.html,73.0,243.0,4.72,23.0,32.25,113.0,7.12,4.3,ACC,38.0,3.0,163.0,112.0,275.0,36.0,8.5,2.0,22.0,1.0,11.0,0.0,0.0,0.0,2.0,29.87,256.19,8.25,3.68,43.55,165.18,3.68,3.24,73.42,421.37,5.3,6.92,2013
Jordan Reed,TE,Florida,3,85,https://www.sports-reference.com/cfb/players/jordan-reed-1.html,74.0,236.0,4.72,16.0,32.85,118.26,7.08,4.25,SEC,36.0,3.0,102.27,52.51,155.0,9.03,2.64,3.48,56.37,0.02,14.15,0.76,0.0,0.76,2.36,79.0,945.0,12.0,6.0,77.0,328.0,4.3,5.0,156.0,1273.0,8.2,11.0,2013
Eric Reid,S,LSU,1,18,https://www.sports-reference.com/cfb/players/eric-reid-1.html,73.0,213.0,4.53,17.0,40.5,134.0,6.99,4.22,SEC,39.0,3.0,109.0,90.0,199.0,4.5,0.0,6.0,104.0,0.0,4.0,1.0,1.87,0.86,2.0,26.0,252.51,9.78,2.69,179.06,1155.34,5.68,7.91,205.06,1407.86,9.49,10.6,2013
Sean Renfree,QB,Duke,7,249,https://www.sports-reference.com/cfb/players/sean-renfree-1.html,75.0,219.0,4.76,16.27,31.18,113.98,7.05,4.2,ACC,42.0,4.0,147.96,105.72,254.0,13.16,1.33,7.62,87.21,0.19,15.19,0.96,0.0,0.1,1.73,1.0,7.55,7.54,0.01,15.93,78.83,1.1,0.77,16.93,86.38,1.1,0.78,2013
Xavier Rhodes,CB,Florida State,1,25,https://www.sports-reference.com/cfb/players/xavier-rhodes-1.html,73.0,210.0,4.43,14.0,40.5,132.0,6.85,4.1,ACC,41.0,3.0,112.0,28.0,140.0,7.0,2.0,8.0,54.0,0.0,18.87,0.47,22.51,0.48,1.38,49.03,429.71,8.31,4.05,341.27,2034.49,5.93,19.37,390.3,2464.2,6.28,23.42,2013
Sheldon Richardson,DT,Missouri,1,13,https://www.sports-reference.com/cfb/players/sheldon-richardson-1.html,74.0,294.0,5.02,30.0,32.0,116.0,7.37,4.53,Big 12,13.0,1.0,54.0,58.0,112.0,18.5,6.0,0.0,0.0,0.0,4.0,1.0,60.0,0.0,3.0,4.16,34.14,6.68,0.0,1.08,5.07,1.97,0.29,5.25,39.21,2.98,0.29,2013
Theo Riddick,RB,Notre Dame,6,199,https://www.sports-reference.com/cfb/players/theo-riddick-1.html,70.0,201.0,4.68,15.5,32.0,118.0,6.87,4.13,Ind,45.0,4.0,122.86,66.9,190.0,9.18,2.68,5.56,103.42,0.39,11.64,0.82,14.57,0.75,2.6,120.0,1263.0,10.5,8.0,244.0,1169.0,4.8,5.0,364.0,2432.0,6.7,13.0,2013
