Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Oday Aboushi,OT,Virginia,5,141,https://www.sports-reference.com/cfb/players/oday-aboushi-1.html,77,308,5.41,17.0,23.5,100.0,7.92,4.84,ACC,13,1,1,1,2,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Johnny Adams,CB,Michigan State,0,0,https://www.sports-reference.com/cfb/players/johnny-adams-1.html,70,185,4.48,16.0,,,,,Big Ten,51,4,109,48,157,11.0,4.0,11,230,2,13,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Keenan Allen,WR,California,3,76,https://www.sports-reference.com/cfb/players/keenan-allen-1.html,74,206,4.58,,,,,,Pac-10,33,3,,,,,,,,,,,,,,,,,,,,,205,2570,12.5,17,30,230,7.7,2,235,2800,11.9,19,,,,,,,,,,,,,,,,,,2013
Ryan Allen,P,Louisiana Tech,0,0,https://www.sports-reference.com/cfb/players/ryan-allen-1.html,73,229,4.98,,,,,,WAC,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,8437,44.9,2013
Kiko Alonso,ILB,Oregon,2,46,https://www.sports-reference.com/cfb/players/kiko-alonso-1.html,75,238,4.74,,,,,,Pac-10,37,4,99,45,144,21.0,3.5,6,68,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
David Amerson,CB,North Carolina State,2,51,https://www.sports-reference.com/cfb/players/david-amerson-1.html,73,205,4.44,15.0,35.5,127.0,,,ACC,39,3,126,51,177,3.0,0.0,18,287,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
C.J. Anderson,RB,California,0,0,https://www.sports-reference.com/cfb/players/cj-anderson-1.html,68,224,4.6,17.0,32.0,119.0,7.15,4.12,Pac-12,25,2,,,,,,,,,,,,,,,,,,,,,22,350,15.9,2,198,1135,5.7,12,220,1485,6.8,14,,,,,,,,,,,,,,,,,,2013
Ziggy Ansah,DE,BYU,1,5,https://www.sports-reference.com/cfb/players/ezekiel-ansah-1.html,77,271,4.56,21.0,34.5,118.0,7.11,4.26,MWC,31,3,39,33,72,13.0,4.5,1,-2,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Marc Anthony,CB,California,7,247,https://www.sports-reference.com/cfb/players/marc-anthony-1.html,71,196,4.63,12.0,35.0,118.0,6.74,4.07,Pac-10,33,3,96,41,137,13.0,0.0,5,96,1,17,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Tavon Austin,WR,West Virginia,1,8,https://www.sports-reference.com/cfb/players/tavon-austin-1.html,68,174,4.34,14.0,32.0,120.0,,4.01,Big East,52,4,,,,,,,,,,,,,,,,,,,,,288,3413,11.9,29,110,1033,9.4,6,398,4446,11.2,35,,,,,,,,,,,,,,,,,,2013
Alvin Bailey,OG,Arkansas,0,0,https://www.sports-reference.com/cfb/players/alvin-bailey-1.html,75,312,4.95,27.0,,,,,SEC,13,1,2,1,3,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Stedman Bailey,WR,West Virginia,3,92,https://www.sports-reference.com/cfb/players/stedman-bailey-1.html,70,193,4.52,11.0,34.5,117.0,6.81,4.09,Big East,39,3,,,,,,,,,,,,,,,,,,,,,210,3218,15.3,41,2,13,6.5,0,212,3231,15.2,41,,,,,,,,,,,,,,,,,,2013
Montee Ball,RB,Wisconsin,2,58,https://www.sports-reference.com/cfb/players/montee-ball-1.html,70,214,4.66,15.0,32.0,118.0,6.88,4.4,Big Ten,49,4,,,,,,,,,,,,,,,,,,,,,59,598,10.1,6,924,5140,5.6,77,983,5738,5.8,83,,,,,,,,,,,,,,,,,,2013
Johnthan Banks,CB,Mississippi State,2,43,https://www.sports-reference.com/cfb/players/johnthan-banks-1.html,74,185,4.61,10.0,34.0,125.0,6.97,4.27,SEC,51,4,139,82,221,11.5,4.0,16,320,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Matt Barkley,QB,USC,4,98,https://www.sports-reference.com/cfb/players/matt-barkley-1.html,74,227,4.91,,,,,,Pac-10,47,4,,,,,,,,,,,,,,1001,1562,64.1,12327,116,48,148.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Kenjon Barner,RB,Oregon,6,182,https://www.sports-reference.com/cfb/players/kenjon-barner-1.html,69,196,4.52,20.0,35.5,122.0,6.87,4.2,Pac-10,49,4,,,,,,,,,,,,,,,,,,,,,54,591,10.9,7,582,3623,6.2,41,636,4214,6.6,48,,,,,,,,,,,,,,,,,,2013
T.J. Barnes,DT,Georgia Tech,0,0,https://www.sports-reference.com/cfb/players/tj-barnes-1.html,78,369,5.3,25.0,22.0,97.0,8.26,4.96,ACC,39,3,30,45,75,8.5,2.5,,,,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Sam Barrington,ILB,South Florida,7,232,https://www.sports-reference.com/cfb/players/sam-barrington-1.html,73,246,4.91,22.0,32.5,117.0,,,Big East,38,3,151,107,258,21.5,6.5,1,30,1,7,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Steve Beauharnais,ILB,Rutgers,7,235,https://www.sports-reference.com/cfb/players/steve-beauharnais-1.html,73,240,4.84,19.0,33.0,118.0,6.99,4.2,Big East,51,4,128,146,274,35.0,12.5,4,71,0,2,2,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Le'Veon Bell,RB,Michigan State,2,48,https://www.sports-reference.com/cfb/players/leveon-bell-1.html,73,230,4.6,24.0,31.5,118.0,6.75,4.24,Big Ten,40,3,,,,,,,,,,,,,,,,,,,,,78,531,6.8,1,671,3346,5.0,33,749,3877,5.2,34,,,,,,,,,,,,,,,,,,2013
Giovani Bernard,RB,North Carolina,2,37,https://www.sports-reference.com/cfb/players/giovani-bernard-1.html,68,202,4.53,19.0,33.5,122.0,6.91,4.12,ACC,23,2,,,,,,,,,,,,,,,,,,,,,92,852,9.3,6,423,2481,5.9,25,515,3333,6.5,31,,,,,,,,,,,,,,,,,,2013
