Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Mehdi Abdesmad,DE,Boston Col.,0,0,https://www.sports-reference.com/cfb/players/mehdi-abdesmad-1.html,78,284,5.1,25.0,29.5,108.0,7.55,4.62,ACC,20,4,57,40,97,21.5,7.5,0,0,0,1,1,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Vernon Adams,QB,Oregon,0,0,https://www.sports-reference.com/cfb/players/vernon-adams-1.html,71,200,4.83,,29.5,114.0,6.82,4.2,Pac-12,10,1,,,,,,,,,,,,,,168,259,64.9,2643,26,6,179.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Jerell Adams,TE,South Carolina,6,184,https://www.sports-reference.com/cfb/players/jerell-adams-1.html,77,247,4.64,,32.5,117.0,7.05,4.31,SEC,37,4,,,,,,,,,,,,,,,,,,,,,66,977,14.8,7,0,0,,0,66,977,14.8,7,,,,,,,,,,,,,,,,,,2016
Bralon Addison,WR,Oregon,0,0,https://www.sports-reference.com/cfb/players/bralon-addison-1.html,69,197,4.66,13.0,34.5,116.0,6.95,4.14,Pac-12,39,3,,,,,,,,,,,,,,,,,,,,,146,1937,13.3,20,21,103,4.9,2,167,2040,12.2,22,,,,,,,,,,,,,,,,,,2016
Roberto Aguayo,K,Florida State,2,59,https://www.sports-reference.com/cfb/players/roberto-aguayo-1.html,72,207,4.96,,,,,,ACC,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,100.0,69,78,88.5,405,0,0,,2016
Dominique Alexander,ILB,Oklahoma,0,0,https://www.sports-reference.com/cfb/players/dominique-alexander-1.html,72,232,4.64,17.0,28.5,104.0,,,Big 12,38,3,153,139,292,18.0,4.5,1,0,0,3,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Mackensie Alexander,CB,Clemson,2,54,https://www.sports-reference.com/cfb/players/mackensie-alexander-1.html,70,190,4.43,11.0,,,,,ACC,23,2,33,11,44,4.0,0.0,0,0,0,11,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Vadal Alexander,OT,LSU,7,234,https://www.sports-reference.com/cfb/players/vadal-alexander-1.html,77,326,5.57,25.0,24.0,95.0,8.04,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Brandon Allen,QB,Arkansas,6,201,https://www.sports-reference.com/cfb/players/brandon-allen-2.html,73,217,4.84,,28.0,110.0,7.06,4.33,SEC,42,4,,,,,,,,,,,,,,583,1016,57.4,7463,64,26,134.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Jack Allen,C,Michigan State,0,0,https://www.sports-reference.com/cfb/players/jack-allen-2.html,73,294,5.29,23.0,26.5,101.0,7.9,4.73,Big Ten,1,1,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Geronimo Allison,WR,Illinois,0,0,https://www.sports-reference.com/cfb/players/geronimo-allison-1.html,75,196,4.67,,33.0,127.0,7.4,4.28,Big Ten,23,2,,,,,,,,,,,,,,,,,,,,,106,1480,14.0,8,0,0,,0,106,1480,14.0,8,,,,,,,,,,,,,,,,,,2016
Stephen Anderson,TE,California,0,0,https://www.sports-reference.com/cfb/players/stephen-anderson-2.html,74,230,4.59,16.0,38.0,119.0,,,Pac-12,30,3,,,,,,,,,,,,,,,,,,,,,101,1260,12.5,7,0,0,,0,101,1260,12.5,7,,,,,,,,,,,,,,,,,,2016
Eli Apple,CB,Ohio State,1,10,https://www.sports-reference.com/cfb/players/eli-apple-1.html,73,199,4.4,13.0,,,,,Big Ten,28,2,56,30,86,7.5,0.0,4,16,0,17,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Demarcus Ayers,WR,Houston,7,229,https://www.sports-reference.com/cfb/players/demarcus-ayers-1.html,69,182,4.72,,33.0,123.0,,,American,40,3,,,,,,,,,,,,,,,,,,,,,141,1686,12.0,9,28,152,5.4,1,169,1838,10.9,10,,,,,,,,,,,,,,,,,,2016
Sterling Bailey,DE,Georgia,0,0,https://www.sports-reference.com/cfb/players/sterling-bailey-1.html,76,285,5.23,20.0,30.0,111.0,7.46,4.73,SEC,34,3,35,72,107,4.0,2.5,0,0,0,7,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Peyton Barber,RB,Auburn,0,0,https://www.sports-reference.com/cfb/players/peyton-barber-1.html,70,228,4.64,20.0,32.5,111.0,7.0,4.21,SEC,18,2,,,,,,,,,,,,,,,,,,,,,11,112,10.2,0,248,1071,4.3,13,259,1183,4.6,13,,,,,,,,,,,,,,,,,,2016
Jimmy Bean,DE,Oklahoma State,0,0,https://www.sports-reference.com/cfb/players/jimmy-bean-1.html,77,264,4.87,20.0,,,,,Big 12,34,4,72,32,104,27.0,12.5,0,0,0,1,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Willie Beavers,OT,West. Michigan,4,121,https://www.sports-reference.com/cfb/players/willie-beavers-1.html,77,321,5.28,20.0,25.5,103.0,7.96,4.71,MAC,2,1,0,1,1,0.5,0.0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Vonn Bell,S,Ohio State,2,61,https://www.sports-reference.com/cfb/players/vonn-bell-2.html,71,199,4.52,16.0,,,,,Big Ten,36,3,115,60,175,4.0,1.0,9,49,1,15,2,14,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Caleb Benenoch,OT,UCLA,5,148,https://www.sports-reference.com/cfb/players/caleb-benenoch-1.html,77,311,4.98,,28.0,104.0,8.15,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Andrew Billings,DT,Baylor,4,122,https://www.sports-reference.com/cfb/players/andrew-billings-1.html,73,311,5.05,31.0,27.5,113.0,8.05,4.82,Big 12,35,3,74,33,107,30.0,8.5,0,0,0,0,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Ronald Blair,DE,Appalachian State,5,142,https://www.sports-reference.com/cfb/players/ronald-blair-1.html,74,284,5.15,32.0,30.0,113.0,7.95,4.53,Sun Belt,25,2,66,48,114,32.0,12.5,1,30,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Austin Blythe,C,Iowa,7,248,https://www.sports-reference.com/cfb/players/austin-blythe-1.html,74,298,5.36,29.0,27.5,99.0,7.52,4.53,Big Ten,1,1,1,0,1,0.0,0.0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Briean Boddy-Calhoun,CB,Minnesota,0,0,https://www.sports-reference.com/cfb/players/briean-boddy-calhoun-1.html,69,193,4.47,10.0,35.0,123.0,7.16,4.22,Big Ten,25,3,80,24,104,3.5,0.5,10,169,2,15,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Evan Boehm,C,Missouri,4,128,https://www.sports-reference.com/cfb/players/evan-boehm-1.html,74,302,5.33,24.0,28.5,96.0,7.52,4.69,SEC,0,0,1,0,1,0.0,0.0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Devante Bond,OLB,Oklahoma,6,183,https://www.sports-reference.com/cfb/players/devante-bond-1.html,73,235,4.7,21.0,37.5,121.0,7.07,4.36,Big 12,19,2,46,27,73,11.0,3.0,0,0,0,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Devontae Booker,RB,Utah,4,136,https://www.sports-reference.com/cfb/players/devontae-booker-1.html,71,219,4.56,22.0,,,,,Pac-12,23,2,,,,,,,,,,,,,,,,,,,,,80,622,7.8,2,560,2773,5.0,21,640,3395,5.3,23,,,,,,,,,,,,,,,,,,2016
Joey Bosa,DE,Ohio State,1,3,https://www.sports-reference.com/cfb/players/joey-bosa-1.html,77,269,4.86,24.0,32.0,120.0,6.89,4.21,Big Ten,38,3,101,47,148,51.0,26.0,1,28,0,6,2,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Tyler Boyd,WR,Pittsburgh,2,55,https://www.sports-reference.com/cfb/players/tyler-boyd-1.html,73,197,4.58,11.0,34.0,119.0,6.9,4.35,ACC,38,3,,,,,,,,,,,,,,,,,,,,,254,3361,13.2,21,63,520,8.3,1,317,3881,12.2,22,,,,,,,,,,,,,,,,,,2016
Trevone Boykin,QB,TCU,0,0,https://www.sports-reference.com/cfb/players/trevone-boykin-1.html,72,212,4.77,,32.0,110.0,,4.4,Big 12,48,4,,,,,,,,,,,,,,829,1355,61.2,10727,86,37,143.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Jake Brendel,C,UCLA,0,0,https://www.sports-reference.com/cfb/players/jake-brendel-1.html,75,303,5.01,25.0,28.0,108.0,7.31,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Jacoby Brissett,QB,North Carolina State,3,91,https://www.sports-reference.com/cfb/players/jacoby-brissett-2.html,76,231,4.94,,31.0,113.0,7.17,4.53,SEC,39,4,,,,,,,,,,,,,,458,765,59.9,5268,43,11,133.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Kentrell Brothers,OLB,Missouri,5,160,https://www.sports-reference.com/cfb/players/kentrell-brothers-1.html,72,245,4.89,19.0,28.5,110.0,6.99,4.11,SEC,40,3,184,173,357,23.5,4.5,5,39,0,11,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Anthony Brown,CB,Purdue,6,189,https://www.sports-reference.com/cfb/players/anthony-brown-6.html,71,192,4.33,19.0,35.0,115.0,7.03,4.19,Big Ten,36,3,137,52,189,9.5,1.5,4,4,0,19,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Beniquez Brown,OLB,Mississippi State,0,0,https://www.sports-reference.com/cfb/players/beniquez-brown-1.html,73,229,4.77,18.0,31.0,110.0,7.07,4.28,SEC,38,3,94,106,200,22.5,6.0,3,26,0,4,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Chris Brown,WR,Notre Dame,0,0,https://www.sports-reference.com/cfb/players/chris-brown-11.html,74,194,4.48,,,,,,Ind,45,4,,,,,,,,,,,,,,,,,,,,,104,1410,13.6,6,1,5,5.0,0,105,1415,13.5,6,,,,,,,,,,,,,,,,,,2016
Lamarcus Brutus,S,Florida State,0,0,https://www.sports-reference.com/cfb/players/lamarcus-brutus-1.html,72,206,4.76,14.0,33.0,114.0,7.08,4.33,ACC,31,3,66,31,97,0.0,0.0,5,98,0,3,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Deforest Buckner,DE,Oregon,1,7,https://www.sports-reference.com/cfb/players/deforest-buckner-1.html,79,291,5.05,,32.0,116.0,7.51,4.47,Pac-12,53,4,109,123,232,36.0,18.0,0,0,0,10,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Jonathan Bullard,DE,Florida,3,72,https://www.sports-reference.com/cfb/players/jonathan-bullard-1.html,75,285,4.93,23.0,32.0,116.0,7.31,4.56,SEC,37,3,92,83,175,34.0,12.0,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Aaron Burbridge,WR,Michigan State,6,213,https://www.sports-reference.com/cfb/players/aaron-burbridge-1.html,72,206,4.56,20.0,30.5,115.0,7.22,4.31,Big Ten,46,4,,,,,,,,,,,,,,,,,,,,,165,2174,13.2,10,22,149,6.8,0,187,2323,12.4,10,,,,,,,,,,,,,,,,,,2016
Artie Burns,CB,Miami (FL),1,25,https://www.sports-reference.com/cfb/players/artie-burns-1.html,72,193,4.46,,31.5,,,,ACC,34,3,65,28,93,3.0,2.0,7,37,0,14,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Juston Burris,CB,North Carolina State,4,118,https://www.sports-reference.com/cfb/players/juston-burris-1.html,72,212,4.53,19.0,36.5,122.0,7.1,4.4,ACC,37,3,89,32,121,5.0,0.0,3,6,0,18,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Deon Bush,S,Miami (FL),4,124,https://www.sports-reference.com/cfb/players/deon-bush-1.html,72,199,4.64,17.0,36.0,123.0,,,ACC,34,3,123,45,168,10.0,4.0,4,0,0,13,3,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Vernon Butler,DT,Louisiana Tech,1,30,https://www.sports-reference.com/cfb/players/vernon-butler-1.html,76,323,5.33,26.0,29.5,104.0,7.82,4.76,WAC,37,3,87,81,168,28.5,5.0,0,0,0,3,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Devon Cajuste,WR,Stanford,0,0,https://www.sports-reference.com/cfb/players/devon-cajuste-1.html,76,234,4.62,12.0,36.0,123.0,6.49,4.2,Pac-12,40,4,,,,,,,,,,,,,,,,,,,,,90,1589,17.7,14,0,0,,0,90,1589,17.7,14,,,,,,,,,,,,,,,,,,2016
Shilique Calhoun,DE,Michigan State,3,75,https://www.sports-reference.com/cfb/players/shilique-calhoun-1.html,76,251,4.82,23.0,35.0,115.0,6.97,4.25,Big Ten,39,3,74,57,131,44.0,27.0,1,56,1,5,5,20,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Taveze Calhoun,CB,Mississippi State,0,0,https://www.sports-reference.com/cfb/players/taveze-calhoun-1.html,72,192,4.58,14.0,33.5,,,,SEC,36,3,106,52,158,12.0,0.0,6,98,0,21,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
De'Vondre Campbell,OLB,Minnesota,4,115,https://www.sports-reference.com/cfb/players/devondre-campbell-1.html,76,232,4.58,16.0,34.0,116.0,,,Big Ten,36,3,127,79,206,16.0,6.5,2,27,1,4,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Maurice Canady,CB,Virginia,6,209,https://www.sports-reference.com/cfb/players/maurice-canady-1.html,73,193,4.49,16.0,38.0,124.0,7.03,4.09,ACC,43,4,101,45,146,6.5,2.0,5,108,1,26,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Leonte Carroo,WR,Rutgers,3,86,https://www.sports-reference.com/cfb/players/leonte-carroo-1.html,72,211,4.5,14.0,35.5,120.0,,,Big East,30,3,,,,,,,,,,,,,,,,,,,,,122,2373,19.5,29,0,0,,0,122,2373,19.5,29,,,,,,,,,,,,,,,,,,2016
